day,hour,Ta_C
day_1,0,20.52
day_1,1,20.13
day_1,2,20.0
day_1,3,20.0
day_1,4,20.0
day_1,5,20.33
day_1,6,20.85
day_1,7,21.55
day_1,8,22.44
day_1,9,23.36
day_1,10,24.05
day_1,11,24.77
day_1,12,25.47
day_1,13,25.75
day_1,14,25.77
day_1,15,25.91
day_1,16,25.9
day_1,17,25.41
day_1,18,24.89
day_1,19,24.34
day_1,20,23.74
day_1,21,22.55
day_1,22,22.06
day_1,23,20.97
day_2,0,20.03
day_2,1,20.0
day_2,2,20.0
day_2,3,20.0
day_2,4,20.0
day_2,5,20.07
day_2,6,20.79
day_2,7,21.61
day_2,8,22.66
day_2,9,23.21
day_2,10,24.32
day_2,11,24.67
day_2,12,25.24
day_2,13,25.47
day_2,14,25.65
day_2,15,25.59
day_2,16,25.47
day_2,17,25.33
day_2,18,24.24
day_2,19,23.66
day_2,20,22.58
day_2,21,22.06
day_2,22,21.33
day_2,23,20.83
