time,Ta_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term
2026-04-02 00:00:00,20.03,39.0,20.03,14.25,0.12,18.97,0.0,1138.2
2026-04-02 00:01:00,20.03,39.0,20.6167796276097,14.25,0.12,18.3832203723903,0.0,-35.20677765658185
2026-04-02 00:02:00,20.03,39.0,21.19244776741407,14.25,0.12,17.80755223258593,0.0,-34.54008838826226
2026-04-02 00:03:00,20.03,39.0,21.757214830878407,14.25,0.12,17.242785169121593,0.0,-33.886023807860255
2026-04-02 00:04:00,20.03,39.0,22.31128724503445,14.25,0.12,16.68871275496555,0.0,-33.24434484936255
2026-04-02 00:05:00,20.03,39.0,22.854867527931198,14.25,0.12,16.145132472068802,0.0,-32.61481697380489
2026-04-02 00:06:00,20.03,39.0,23.388154362656902,14.25,0.12,15.611845637343098,0.0,-31.997210083542242
2026-04-02 00:07:00,20.03,39.0,23.9113426699594,14.25,0.12,15.0886573300406,0.0,-31.391298438149846
2026-04-02 00:08:00,20.03,39.0,24.42462367949124,14.25,0.12,14.57537632050876,0.0,-30.79686057191047
2026-04-02 00:09:00,20.03,39.0,24.928184999705728,14.25,0.12,14.071815000294272,0.0,-30.213679212869238
2026-04-02 00:10:00,20.03,39.0,25.422210686429345,14.25,0.12,13.577789313570655,0.0,-29.641541203417034
2026-04-02 00:11:00,20.03,39.0,25.906881310135674,13.747774624357543,0.12,13.093118689864326,0.2182186448310721,-29.080237422379724
2026-04-02 00:12:00,20.03,39.0,26.361693627636956,13.924877625474412,0.12,12.638306372363044,0.4288570843704561,-27.288739050076956
2026-04-02 00:13:00,20.03,39.0,26.815186103737265,14.08062584418724,0.12,12.184813896262735,0.631937315974835,-27.209548566018498
2026-04-02 00:14:00,20.03,39.0,27.266504394536963,14.215982333660694,0.12,11.733495605463037,0.8274955760658856,-27.079097447981866
2026-04-02 00:15:00,20.03,39.0,27.714849990464344,14.25,0.12,11.285150009535656,0.8274955760658856,-26.900735755642913
2026-04-02 00:16:00,20.03,39.0,28.156106302442485,13.868575110633047,0.12,10.843893697557515,1.0082271376918441,-26.475378718688418
2026-04-02 00:17:00,20.03,39.0,28.573300682714112,13.972715696225714,0.12,10.426699317285888,1.182005459646609,-25.03166281629767
2026-04-02 00:18:00,20.03,39.0,28.986883158352185,14.059789062670033,0.12,10.013116841647815,1.3488907403407393,-24.81494853828437
2026-04-02 00:19:00,20.03,39.0,29.396219340072047,14.130641913946569,0.12,9.603780659927953,1.5089537513395386,-24.560170903191718
2026-04-02 00:20:00,20.03,39.0,29.800721716800037,14.186103451378576,0.12,9.199278283199963,1.662275056059538,-24.270142603679403
2026-04-02 00:21:00,20.03,39.0,30.199848047253443,14.226984718562498,0.12,8.800151952746557,1.8089442552719808,-23.94757982720435
2026-04-02 00:22:00,20.03,39.0,30.59309975500395,14.25,0.12,8.406900244996049,1.8089442552719808,-23.595102465030493
2026-04-02 00:23:00,20.03,39.0,30.979852407252718,13.847987738200588,0.12,8.020147592747282,1.9426133818177689,-23.205159134925992
2026-04-02 00:24:00,20.03,39.0,31.342727493452507,13.867976277328173,0.12,7.657272506547493,2.070234590260227,-21.772505171987362
2026-04-02 00:25:00,20.03,39.0,31.699554113964517,13.876171951117938,0.12,7.300445886035483,2.1919086883608183,-21.40959723072058
2026-04-02 00:26:00,20.03,39.0,32.049961203971726,13.873266800912143,0.12,6.950038796028274,2.307742668294623,-21.024425400432563
2026-04-02 00:27:00,20.03,39.0,32.39361322182979,13.859934121962592,0.12,6.6063867781702115,2.41784911459746,-20.619121071483733
2026-04-02 00:28:00,20.03,39.0,32.730208704468936,13.836828204099996,0.12,6.269791295531064,2.522345636189644,-20.195728958348838
2026-04-02 00:29:00,20.03,39.0,33.059478839472725,13.804584127122572,0.12,5.940521160527275,2.621354322198432,-19.756208100227326
2026-04-02 00:30:00,20.03,39.0,33.381186055771074,13.76381760803567,0.12,5.6188139442289255,2.7150012212689143,-19.30243297790099
2026-04-02 00:31:00,20.03,39.0,33.69512263473023,13.715124897339999,0.12,5.304877365269768,2.8034158440234105,-18.836194737549476
2026-04-02 00:32:00,20.03,39.0,34.00110934327303,13.65908272163355,0.12,4.998890656726971,2.8867306883021935,-18.359202512567805
2026-04-02 00:33:00,20.03,39.0,34.29899409051944,13.596248269861166,0.12,4.701005909480557,2.965080786793536,-17.873084834784834
2026-04-02 00:34:00,20.03,39.0,34.588650609299314,13.527159220616328,0.12,4.4113493907006855,3.0386032766385473,-17.379391126792285
2026-04-02 00:35:00,20.03,39.0,34.86997716375665,13.452333807971158,0.12,4.130022836243349,3.1074369905759367,-16.879593267440214
2026-04-02 00:36:00,20.03,39.0,35.14289528413799,13.372270923382919,0.12,3.8571047158620075,3.171722069173637,-16.375087222880467
2026-04-02 00:37:00,20.03,39.0,35.40734852973555,13.287450251298583,0.12,3.5926514702644496,3.2315995936780446,-15.867194735853474
2026-04-02 00:38:00,20.03,39.0,35.6633012808396,13.198332436152556,0.12,3.3366987191604025,3.2872112389973847,-15.357165066242828
2026-04-02 00:39:00,20.03,39.0,35.910737560443486,13.105359278526494,0.12,3.0892624395565136,3.3386989463233268,-14.846176776233335
2026-04-02 00:40:00,20.03,39.0,36.14965988633868,13.008953958314363,0.12,2.850340113661318,3.3862046148843485,-14.335339553711748
2026-04-02 00:41:00,20.03,39.0,36.380088154136345,12.909521282809884,0.12,2.6199118458636548,3.4298698123154097,-13.82569606785978
2026-04-02 00:42:00,20.03,39.0,36.60205855165611,12.807447957707318,0.12,2.397941448343893,3.4698355031211414,-13.318223851185707
2026-04-02 00:43:00,20.03,39.0,36.81562250503151,12.703102879080335,0.12,2.184377494968487,3.5062417947039495,-12.813837202524354
2026-04-02 00:44:00,20.03,39.0,37.02084565679541,12.59683744447667,0.12,1.9791543432045913,3.539227700424026,-12.31338910583375
2026-04-02 00:45:00,20.03,39.0,37.2178068761268,12.488985881338936,0.12,1.7821931238731992,3.5689309191552456,-11.817673159883526
2026-04-02 00:46:00,20.03,39.0,37.40659730136361,12.379865591033946,0.12,1.593402698636389,3.5954876307991857,-11.327425514208613
2026-04-02 00:47:00,20.03,39.0,37.58731941481307,12.269777506843838,0.12,1.4126805851869335,3.619032307218968,-10.843326806967326
2026-04-02 00:48:00,20.03,39.0,37.76008614982303,12.15900646434272,0.12,1.2399138501769684,3.6396975380552505,-10.366004100597905
2026-04-02 00:49:00,20.03,39.0,37.92502003001336,12.047821582651727,0.12,1.074979969986643,3.6576138708883614,-9.89603281141953
2026-04-02 00:50:00,20.03,39.0,38.08225234050626,11.936476655133513,0.12,0.9177476594937417,3.672909665213257,-9.433938629574072
2026-04-02 00:51:00,20.03,39.0,38.23192233093836,11.825210548154493,0.12,0.7680776690616398,3.6857109596976176,-8.980199425926116
2026-04-02 00:52:00,20.03,39.0,38.37417644998492,11.714247606608684,0.12,0.6258235500150775,3.696141352197869,-8.535247142793736
2026-04-02 00:53:00,20.03,39.0,38.50916761107785,11.603798064961865,0.12,0.49083238892215064,3.704321892013238,-8.099469665575612
2026-04-02 00:54:00,20.03,39.0,38.63705448895412,11.494058462637888,0.12,0.36294551104587924,3.710370983864003,-7.673212672576284
2026-04-02 00:55:00,20.03,39.0,38.75800084662963,11.385212062630899,0.12,0.24199915337037226,3.7144043030868423,-7.256781460530419
2026-04-02 00:56:00,20.03,39.0,38.87217489235514,11.143212909260527,0.12,0.0,3.7144043030868423,-14.519949202222335
