condition,scenario_id,scenario_name,seed,requested_supervisor_mode,effective_supervisor_mode,num_supervision_updates,MAD_C,CVR_fraction,CE_kWh,EC_USD,RT_s,ST_s,OC_count,MO_C
C2,S1,Steady-State Tracking,42,agent_auto,agent_auto,23,0.2542366077475377,0.0,0.019695010037784528,0.002363401204534143,2700.0,3540.0,1.0,
C2,S1,Steady-State Tracking,123,agent_auto,agent_auto,23,1.020489801787486,0.0,0.020335446614963424,0.0024402535937956106,2400.0,,,
C2,S1,Steady-State Tracking,456,agent_auto,agent_auto,23,0.7935077589538536,0.0,0.020367811357149854,0.0024441373628579822,2400.0,6660.0,0.0,
C2,S1,Steady-State Tracking,789,agent_auto,agent_auto,23,0.8036194912406445,0.0,0.020932105741079354,0.002511852688929523,2460.0,6720.0,0.0,
C2,S1,Steady-State Tracking,1024,agent_auto,agent_auto,23,0.5073589486476522,0.0,0.02015716198592271,0.0024188594383107256,2640.0,,,
C2,S2,Weather Disturbance,42,agent_auto,agent_auto,35,0.48187045329347067,0.08333333333333333,0.040147626832998405,0.004817715219959809,3900.0,5580.0,1.0,
C2,S2,Weather Disturbance,123,agent_auto,agent_auto,35,0.33007460458549176,0.025,0.04006760127061385,0.004808112152473662,3540.0,4620.0,1.0,
C2,S2,Weather Disturbance,456,agent_auto,agent_auto,35,0.48629146566511,0.1,0.04046038326610672,0.004855245991932807,4020.0,5520.0,1.0,
C2,S2,Weather Disturbance,789,agent_auto,agent_auto,35,0.43383933724852325,0.075,0.0407403977364206,0.004888847728370472,3840.0,5340.0,1.0,
C2,S2,Weather Disturbance,1024,agent_auto,agent_auto,35,0.5987834742145168,0.1,0.040676254619610004,0.0048811505543531995,4020.0,10440.0,0.0,
C2,S3,Cost Optimization,42,agent_auto,agent_auto,143,0.23038787101003302,0.0,0.07984349284093344,0.019769310404119354,2580.0,3360.0,1.0,1.1971893399138125
C2,S3,Cost Optimization,123,agent_auto,agent_auto,143,0.2792222030917313,0.0,0.08261702374404757,0.020463908604334898,2460.0,7560.0,0.0,1.1940489114780064
C2,S3,Cost Optimization,456,agent_auto,agent_auto,143,0.2707877649702589,0.0,0.08191118945950439,0.020104579496523577,2160.0,6660.0,0.0,1.1981970349199358
C2,S3,Cost Optimization,789,agent_auto,agent_auto,143,0.21456305048574428,0.0,0.08213207744844447,0.020267861858439037,2580.0,3240.0,1.0,1.194330340901523
C2,S3,Cost Optimization,1024,agent_auto,agent_auto,143,0.2833128773888382,0.0,0.08269898776384758,0.02046462470516333,2160.0,6660.0,0.0,1.1514628313716244
C2,S4,Occupancy Adaptation,42,agent_auto,agent_auto,71,0.3387241708480441,0.03333333333333333,0.04251923792445329,0.007779711964451914,2040.0,2400.0,1.0,2.8111596565524337
C2,S4,Occupancy Adaptation,123,agent_auto,agent_auto,71,0.4237847893406228,0.05,0.04552050579736271,0.008303368381750744,1740.0,6180.0,1.0,3.1680979922649968
C2,S4,Occupancy Adaptation,456,agent_auto,agent_auto,71,0.3086089336020752,0.03,0.04467092755170881,0.008143472318529554,1740.0,5280.0,0.0,2.819745250506486
C2,S4,Occupancy Adaptation,789,agent_auto,agent_auto,71,0.39907083873535487,0.03333333333333333,0.0435035034669974,0.007925006537770868,1800.0,6600.0,0.0,2.818023498182775
C2,S4,Occupancy Adaptation,1024,agent_auto,agent_auto,71,0.39483235471899286,0.043333333333333335,0.04484812387014857,0.00817477487594458,1740.0,5940.0,1.0,3.14587427794455
C2,S5,Multi-Disturbance Stress,42,agent_auto,agent_auto,287,0.3398518380179521,0.020289855072463767,0.18301116406759615,0.03245055710572434,2640.0,17520.0,0.0,3.2779834325337376
C2,S5,Multi-Disturbance Stress,123,agent_auto,agent_auto,287,0.37983454862649374,0.03695652173913044,0.18825120293144101,0.03367963417929423,2760.0,18300.0,0.0,3.2875703451182403
C2,S5,Multi-Disturbance Stress,456,agent_auto,agent_auto,287,0.32367317497586956,0.012318840579710146,0.187682145278945,0.03337808487632277,2580.0,17700.0,0.0,3.2764066897917914
C2,S5,Multi-Disturbance Stress,789,agent_auto,agent_auto,287,0.3101366381129775,0.008695652173913044,0.18624922885751927,0.0328913296855506,2520.0,16920.0,1.0,3.2736212765013377
C2,S5,Multi-Disturbance Stress,1024,agent_auto,agent_auto,287,0.34185992059817927,0.012318840579710146,0.1881858727596838,0.03350163344032967,2520.0,17820.0,0.0,3.270717830471078
C2,S6,LLM Failure Resilience,42,agent_auto,agent_auto,47,0.47873869516089923,0.0,0.032307891429927314,0.0038769469715912775,2640.0,7140.0,0.0,
C2,S6,LLM Failure Resilience,123,agent_auto,agent_auto,47,0.4671131146167814,0.0,0.03225652677495256,0.0038707832129943076,2280.0,6840.0,0.0,
C2,S6,LLM Failure Resilience,456,agent_auto,agent_auto,47,0.4260292425517734,0.0,0.0324852406725666,0.003898228880707992,2220.0,6540.0,0.0,
C2,S6,LLM Failure Resilience,789,agent_auto,agent_auto,47,0.738104520485299,0.15555555555555556,0.03404989924459082,0.0040859879093508985,2400.0,9120.0,0.0,
C2,S6,LLM Failure Resilience,1024,agent_auto,agent_auto,47,0.45073413474290747,0.14444444444444443,0.0328576584333959,0.003942919012007508,2160.0,6420.0,2.0,
