condition,scenario_id,scenario_name,seed,requested_supervisor_mode,effective_supervisor_mode,supervision_interval_min,num_supervision_updates,MAD_C,CVR_fraction,CE_kWh,EC_USD,RT_s,ST_s,OC_count,MO_C,weighted_objective_J
C3,S1,Steady-State Tracking,42,agent_auto,agent_auto,10,11,0.5639592356909294,0.0,0.019951276415851496,0.0023941531699021796,2700.0,,,,11.66820461746176
C3,S1,Steady-State Tracking,123,agent_auto,agent_auto,10,11,0.8959245996099887,0.0,0.020173591423388117,0.0024208309708065737,2520.0,,,,12.376972927584138
C3,S1,Steady-State Tracking,456,agent_auto,agent_auto,10,11,1.022626643926295,0.0,0.020480309164063407,0.002457637099687609,2400.0,6900.0,0.0,,12.431988910425854
C3,S1,Steady-State Tracking,789,agent_auto,agent_auto,10,11,0.8376893447970974,0.0,0.020901354271299823,0.0025081625125559785,2580.0,,,,13.26266567274184
C3,S1,Steady-State Tracking,1024,agent_auto,agent_auto,10,11,0.932256890488061,0.0,0.020446067298997683,0.0024535280758797213,2520.0,,,,12.834936869833193
C3,S2,Weather Disturbance,42,agent_auto,agent_auto,10,17,0.6632928052660613,0.15,0.03987580888217385,0.004785097065860862,4380.0,5940.0,1.0,,12.696818387688644
C3,S2,Weather Disturbance,123,agent_auto,agent_auto,10,17,0.3838891589638044,0.041666666666666664,0.03998266207481224,0.0047979194489774675,3660.0,4800.0,1.0,,10.442600679376778
C3,S2,Weather Disturbance,456,agent_auto,agent_auto,10,17,0.5040812795615567,0.09166666666666666,0.04061672733109744,0.004874007279731692,3960.0,5160.0,1.0,,12.150389613183028
C3,S2,Weather Disturbance,789,agent_auto,agent_auto,10,17,0.4750784207884609,0.08333333333333333,0.04076789604876486,0.004892147525851782,3900.0,5280.0,1.0,,11.665919000091046
C3,S2,Weather Disturbance,1024,agent_auto,agent_auto,10,17,0.4865467671345535,0.08333333333333333,0.040557741779154215,0.004866929013498505,3900.0,5220.0,1.0,,11.72734856833428
C3,S3,Cost Optimization,42,agent_auto,agent_auto,10,71,0.25830189150645194,0.0,0.08062844915093009,0.020255106374060652,2640.0,7320.0,0.0,0.6986846601609571,1.7012701530781824
C3,S3,Cost Optimization,123,agent_auto,agent_auto,10,71,0.27604069488563565,0.0,0.08337804630832778,0.02095639618110836,2340.0,7020.0,0.0,0.7001968888029921,1.616343396485448
C3,S3,Cost Optimization,456,agent_auto,agent_auto,10,71,0.2362987969809356,0.0,0.08269972572296118,0.020726603523356344,2220.0,6720.0,0.0,0.6996120209072245,1.6399864061970961
C3,S3,Cost Optimization,789,agent_auto,agent_auto,10,71,0.2695937281506601,0.0,0.08281139176879372,0.020684940670138215,2520.0,7080.0,0.0,0.6961761392390216,1.8213744276893835
C3,S3,Cost Optimization,1024,agent_auto,agent_auto,10,71,0.2781376573623363,0.0,0.08325266055522879,0.020926481989306765,2340.0,6960.0,0.0,0.6939883848243227,1.6394324378132081
C3,S4,Occupancy Adaptation,42,agent_auto,agent_auto,10,35,0.28095375618041785,0.0,0.03827096372962913,0.006935964891437845,2220.0,6300.0,0.0,0.30476470462623695,1.7509330866860917
C3,S4,Occupancy Adaptation,123,agent_auto,agent_auto,10,35,0.3228680368033425,0.0,0.040887710595656074,0.00739938368478925,1980.0,6360.0,1.0,0.627670234525489,1.8841187580337637
C3,S4,Occupancy Adaptation,456,agent_auto,agent_auto,10,35,0.3282893293420675,0.023333333333333334,0.040374292692759134,0.007259769965395153,1740.0,6060.0,1.0,0.6788733748929658,1.8753737437171885
C3,S4,Occupancy Adaptation,789,agent_auto,agent_auto,10,35,0.3093884210526497,0.0,0.038694368207364264,0.006981457717900909,1980.0,6300.0,0.0,0.430085132134451,1.7772689126659489
C3,S4,Occupancy Adaptation,1024,agent_auto,agent_auto,10,35,0.31178972994938403,0.0,0.04016937521164226,0.007264516461040445,1980.0,6300.0,1.0,0.6456332574117454,1.83568833440516
C3,S5,Multi-Disturbance Stress,42,agent_auto,agent_auto,10,143,0.39973201518408014,0.0,0.18381451997086679,0.03213924217865478,2760.0,18960.0,0.0,1.4185063041742296,1.1746122169779496
C3,S5,Multi-Disturbance Stress,123,agent_auto,agent_auto,10,143,0.3781443452069473,0.005797101449275362,0.18926080081704624,0.03340958977490751,2700.0,18420.0,0.0,1.522019200634368,1.4058838957297135
C3,S5,Multi-Disturbance Stress,456,agent_auto,agent_auto,10,143,0.32440174279647777,0.0,0.18900369830919367,0.03325360626800365,2580.0,17880.0,1.0,1.3633931160995232,1.2991941978382697
C3,S5,Multi-Disturbance Stress,789,agent_auto,agent_auto,10,143,0.36917444747468975,0.0,0.18697505141902213,0.03257705881719076,2580.0,18300.0,0.0,1.409492264165273,1.2052740448001222
C3,S5,Multi-Disturbance Stress,1024,agent_auto,agent_auto,10,143,0.3667145243986476,0.0,0.1891177879736388,0.03322932885327677,2640.0,18360.0,0.0,1.398917173267904,1.2964272916879915
C3,S6,LLM Failure Resilience,42,agent_auto,agent_auto,10,23,0.3813335874315336,0.0,0.0321307857159712,0.0038556942859165437,2640.0,7800.0,0.0,,4.961391246539171
C3,S6,LLM Failure Resilience,123,agent_auto,agent_auto,10,23,0.47473894264798766,0.0,0.03220797296074649,0.003864956755289577,2340.0,7080.0,0.0,,4.86328176791313
C3,S6,LLM Failure Resilience,456,agent_auto,agent_auto,10,23,0.49901440143129716,0.05,0.032619970498802074,0.003914396459856249,2220.0,6780.0,0.0,,5.043253485619702
C3,S6,LLM Failure Resilience,789,agent_auto,agent_auto,10,23,0.4660082075527727,0.0,0.03362940640626044,0.004035528768751254,2400.0,7080.0,0.0,,5.400053469394275
C3,S6,LLM Failure Resilience,1024,agent_auto,agent_auto,10,23,0.4822281700414499,0.0,0.03277934811232342,0.003933521773478809,2340.0,7140.0,0.0,,5.055271559297952
